2o. Agrupamento;3o. Agrupamento;Recurso;Descrição;Matéria Prima;Compr;Largu;Quant;Etapa Seguinte;carreta
GMS Mont Conj Carr;60 Conjuntos ACESSORIOS;23528;REGULADOR VARÃO DE TRAVA    CBHM 2 EIXOS;023504 - CHAPA DE REGULAGEM VARÃO DE TRAVA   CBHM 2 EIXOS;;;2;S Mont Sistemas Carretas;CBH5 FO CS RD M21 - Carreta Hidráulica 5t (7,5m3) RD de 1 Eixo - FORRAGEIRA - C/ MOLAS - Freios e Pneus não Incluídos
GMS Mont Conj Carr;60 Conjuntos ACESSORIOS;23620;VARÃO DA TRAVA   (M12) CBH;023632 - TUBO DO TIRANTE DA TRAVA   (M12) CBH;;;2;Sem Processo;CBH5 FO CS RD M21 - Carreta Hidráulica 5t (7,5m3) RD de 1 Eixo - FORRAGEIRA - C/ MOLAS - Freios e Pneus não Incluídos
GMS Mont Conj Carr;60 Conjuntos ACESSORIOS;443785;PINO ENG C/ARRUELA ICAM (M98) FA;"212300 - ARRUELA LISA 27MM POL. CHAPA 3/16""";;;1;S Mont Sistemas Carretas;CBH5 FO CS RD M21 - Carreta Hidráulica 5t (7,5m3) RD de 1 Eixo - FORRAGEIRA - C/ MOLAS - Freios e Pneus não Incluídos
GMS Cx Acessórios;70 Sistemas ACESSORIOS;30691;ACESSÓRIO  CS   (M17) CBH;"212301 - ARR. DE PRES. MÉDIA - ZB 1/2""";;;1;S Mont Sistemas Carretas;CBH5 FO CS RD M21 - Carreta Hidráulica 5t (7,5m3) RD de 1 Eixo - FORRAGEIRA - C/ MOLAS - Freios e Pneus não Incluídos
GMS Forjaria;70 Sistemas Carretas;460825;FEIXE DE MOLAS 14 LAMINAS [CBHM/FA/F6];260826 - BUCHA FLUTUANTE PARA FEIXE DE MOLAS;;;2;S Pintura;CBH5 FO CS RD M21 - Carreta Hidráulica 5t (7,5m3) RD de 1 Eixo - FORRAGEIRA - C/ MOLAS - Freios e Pneus não Incluídos
GMS Mont Sist Carr;70 Sistemas Carretas;032405LC;"CAÇAMBA COMPLETA ""FORRAGEIRA"" [CBH5,0 M21 LARANJA]";031228LC - TAMPA TRASEIRA FO LARANJA [CBH M18];;;1;S Mont Sistemas Carretas;CBH5 FO CS RD M21 - Carreta Hidráulica 5t (7,5m3) RD de 1 Eixo - FORRAGEIRA - C/ MOLAS - Freios e Pneus não Incluídos
GMS Mont Sist Carr;70 Sistemas Carretas;460722;EIXO COMPLETO CS [CBHM5000];222148 - CONTRA PINO  3/16 X 1.1/2;;;1;S Mont Sistemas Carretas;CBH5 FO CS RD M21 - Carreta Hidráulica 5t (7,5m3) RD de 1 Eixo - FORRAGEIRA - C/ MOLAS - Freios e Pneus não Incluídos
GMS Mont Sist Carr;70 Sistemas Carretas;30638;CHASSI COMPLETO CS [CBHM 5000 M17];"274252 - PORCA SEX    5/16""  UNC  ZB";;;1;S Mont Sistemas Carretas;CBH5 FO CS RD M21 - Carreta Hidráulica 5t (7,5m3) RD de 1 Eixo - FORRAGEIRA - C/ MOLAS - Freios e Pneus não Incluídos
GMS Mont Conj Carr;70 Sistemas Carretas;29520;ESPAÇADOR [CBH M18];029521 - CORPO DO ESPAÇADOR - CBH 6,0 RS/TANDEM ABERTURA LAT;;;1;S Pintura;CBH5 FO CS RD M21 - Carreta Hidráulica 5t (7,5m3) RD de 1 Eixo - FORRAGEIRA - C/ MOLAS - Freios e Pneus não Incluídos
GMS Mont Conj Carr;70 Sistemas Carretas;30378;TAMPA LATERAL SUPERIOR [CBH5/CBH6R M17];030451 - FECHAM LAT GRADE M17 - TAMPA LATERAL (M17) CBH;;;2;S Pintura;CBH5 FO CS RD M21 - Carreta Hidráulica 5t (7,5m3) RD de 1 Eixo - FORRAGEIRA - C/ MOLAS - Freios e Pneus não Incluídos
GMS Mont Conj Carr;70 Sistemas Carretas;31422;TAMPA LATERAL INFERIOR LD [CBH5/CBH6R M17];030751 - CORPO DA TAMPA LATERAL M17 - TAMPA LATERAL (M17) CBH 4;;;1;S Pintura;CBH5 FO CS RD M21 - Carreta Hidráulica 5t (7,5m3) RD de 1 Eixo - FORRAGEIRA - C/ MOLAS - Freios e Pneus não Incluídos
GMS Mont Conj Carr;70 Sistemas Carretas;31228;TAMPA TRASEIRA FO [CBH M18];031226 - COLUNA TAMPA TRASEIRA - CBH (ABERT. LATERAL) M18;;;1;S Pintura;CBH5 FO CS RD M21 - Carreta Hidráulica 5t (7,5m3) RD de 1 Eixo - FORRAGEIRA - C/ MOLAS - Freios e Pneus não Incluídos
GMS Mont Conj Carr;70 Sistemas Carretas;31230;FECHAMENTO DIANTEIRO SUPERIOR [CBH M19];031229 - CHAPEAM. FRONTAL FECHAM. DIANTEIRO SUPERIOR (M18) CBH;;;1;S Pintura;CBH5 FO CS RD M21 - Carreta Hidráulica 5t (7,5m3) RD de 1 Eixo - FORRAGEIRA - C/ MOLAS - Freios e Pneus não Incluídos
GMS Mont Conj Carr;70 Sistemas Carretas;032433CO;ENGATE COMPLETO SS CINZA [CBH/CBHM];033738CO - ENGATE SIMPLES SS CINZA [CBH/CBHM];;;1;S Mont Sistemas Carretas;CBH5 FO CS RD M21 - Carreta Hidráulica 5t (7,5m3) RD de 1 Eixo - FORRAGEIRA - C/ MOLAS - Freios e Pneus não Incluídos
GMS Pintura- Embalar Prod;70 Sistemas Carretas;029520LC;ESPAÇADOR LARANJA [CBH M18];029520 - ESPAÇADOR [CBH M18];;;1;S Mont Sistemas Carretas;CBH5 FO CS RD M21 - Carreta Hidráulica 5t (7,5m3) RD de 1 Eixo - FORRAGEIRA - C/ MOLAS - Freios e Pneus não Incluídos
